PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
86.5,147.95,5.24,42.0,26.6,20.78,0.15,11.85,73.09,Moderate
100.62,167.75,3.75,47.68,28.41,23.68,0.22,10.85,62.78,Poor
110.73,171.47,1.69,31.06,17.89,21.66,0.1,12.23,76.07,Poor
107.7,170.21,4.97,43.54,27.2,22.52,0.17,18.07,64.6,Poor
104.81,192.2,9.59,63.48,41.57,21.06,0.23,17.01,63.87,Poor
89.95,175.16,10.95,64.53,43.23,18.87,0.27,15.52,62.49,Poor
74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,Moderate
56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,Moderate
61.03,131.62,5.51,39.5,25.49,17.82,0.08,11.45,61.91,Moderate
59.03,108.83,3.45,23.36,15.23,18.03,0.09,26.05,87.55,Moderate
61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,Moderate
71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,Moderate
92.44,174.75,5.84,53.79,33.36,19.45,0.11,16.93,71.09,Moderate
92.9,162.69,6.38,56.39,35.19,21.02,0.08,23.11,68.79,Poor
85.15,151.97,11.05,61.55,41.72,18.71,0.07,11.86,90.8,Poor
81.47,145.68,6.45,46.9,30.18,20.18,0.07,9.63,96.49,Poor
81.58,132.66,3.97,34.93,21.81,21.59,0.09,12.81,118.91,Poor
79.56,146.64,4.44,37.58,23.6,17.71,0.05,17.77,137.61,Poor
87.43,155.95,3.9,37.31,23.02,22.35,0.1,13.4,121.72,Poor
87.33,153.97,3.95,42.52,25.82,23.66,0.08,35.39,106.17,Poor
110.39,182.54,4.54,52.24,31.49,24.74,0.04,36.01,82.2,Poor
77.51,125.01,3.85,36.41,22.49,20.06,0.05,14.36,72.16,Poor
86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,Moderate
76.29,115.53,2.96,21.35,13.75,20.38,0.05,8.75,69.99,Moderate
67.06,100.34,3.22,20.25,13.29,18.78,0.06,4.7,54.92,Moderate
68.34,104.45,3.71,26.26,16.99,20.29,0.06,6.43,45.63,Moderate
66.28,117.3,7.36,45.13,29.99,21.68,0.05,7.21,45.97,Moderate
64.98,116.14,6.98,45.4,29.83,21.32,0.06,8.83,50.28,Moderate
75.46,132.84,9.56,56.53,37.84,21.88,0.13,30.48,51.98,Moderate
81.58,141.85,4.99,38.15,24.35,19.33,0.05,11.04,59.76,Moderate
78.27,142.86,5.98,45.36,29.01,19.12,0.06,10.32,58.53,Moderate
79.01,138.14,6.16,45.43,29.17,20.29,0.06,10.18,58.04,Moderate
77.98,137.31,5.09,44.96,28.04,21.11,0.06,7.22,50.69,Moderate
77.96,155.73,8.4,59.92,38.7,23.45,0.06,31.01,40.77,Moderate
79.04,143.38,6.19,43.61,28.23,26.0,0.08,8.67,45.46,Moderate
77.78,131.14,6.1,43.84,28.33,26.3,0.09,7.62,43.26,Moderate
76.48,131.86,4.06,33.37,21.04,22.05,0.06,7.49,45.71,Moderate
74.2,135.97,4.3,35.82,22.55,20.24,0.07,12.16,53.0,Moderate
78.23,140.66,5.36,45.76,28.7,21.73,0.05,12.45,45.35,Moderate
68.53,147.48,8.28,61.52,39.46,19.74,0.04,23.68,37.99,Moderate
62.08,152.59,10.08,62.18,41.29,19.42,0.05,8.97,34.93,Moderate
